protName
"(+)-alpha-pinene synthase, chloroplastic"
Probable mixed-linked glucan synthase 3
Probable mixed-linked glucan synthase 6
Probable mixed-linked glucan synthase 7
Probable mixed-linked glucan synthase 8
Probable mixed-linked glucan synthase 9
Probable myosin-binding protein 4
Probable myosin-binding protein 5
Probable myosin-binding protein 6
Probable nicotianamine synthase 2
Probable nicotianamine synthase 3
Probable nicotianamine synthase 4
Probable nicotianamine synthase 6
Probable nicotianamine synthase 7
Probable non-inhibitory serpin-Z5
Probable non-inhibitory serpin-Z9
Probable non-specific lipid-transfer protein
Probable non-specific lipid-transfer protein 1
Probable non-specific lipid-transfer protein 2
Probable non-specific lipid-transfer protein 3
Probable non-specific lipid-transfer protein AKCS9
Probable nucleolar protein 5-1
Probable nucleolar protein 5-2
Probable nucleoredoxin 1
Probable nucleoredoxin 1-1
Probable nucleoredoxin 1-2
Probable nucleoredoxin 2
Probable nucleoredoxin 3
Probable oxidosqualene cyclase
Probable pectate lyase 1
Probable pectate lyase 10
Probable pectate lyase 12
Probable pectate lyase 13
Probable pectate lyase 15
Probable pectate lyase 16
Probable pectate lyase 18
Probable pectate lyase 19
Probable pectate lyase 20
Probable pectate lyase 22
Probable pectate lyase 3
Probable pectate lyase 4
Probable pectate lyase 5
Probable pectate lyase 6
Probable pectate lyase 7
Probable pectate lyase 8
Probable pectate lyase 9
Probable pectate lyase P18
Probable pectate lyase P56
Probable pectate lyase P59
Probable pectin methylesterase CGR2
Probable pectin methylesterase CGR3
Probable pectin methyltransferase QUA2
Probable pectinesterase 15
Probable pectinesterase 29
Probable pectinesterase 55
Probable pectinesterase 66
Probable pectinesterase 67
Probable peptide/nitrate transporter At3g43790
Probable peroxygenase 3
Probable peroxygenase 4
Probable peroxygenase 5
Probable peroxygenase 7
Probable phosphoinositide phosphatase SAC9
Probable phospholipase A2 homolog 1
Probable phospholipase A2 homolog 2
Probable phospholipid hydroperoxide glutathione peroxidase
Probable plastidic glucose transporter 1
Probable plastidic glucose transporter 2
Probable plastidic glucose transporter 3
Probable poly(ADP-ribose) glycohydrolase 2
Probable polyamine oxidase 5
Probable polyamine transporter At1g31820
Probable polyamine transporter At1g31830
Probable polyamine transporter At3g13620
Probable polyamine transporter At3g19553
Probable polygalacturonase
Probable polyol transporter 3
Probable polyol transporter 4
Probable polyol transporter 6
Probable potassium channel AKT5
Probable potassium transporter 11
Probable potassium transporter 13
Probable potassium transporter 14
Probable potassium transporter 15
Probable potassium transporter 16
Probable potassium transporter 17
Probable potassium transporter 2
Probable potassium transporter 3
Probable potassium transporter 4
Probable potassium transporter 9
Probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH2
Probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH3
Probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH4
Probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH5
Probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH6
Probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH8
Probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH9
Probable prefoldin subunit 2
Probable prefoldin subunit 3
Probable prefoldin subunit 4
Probable prefoldin subunit 5
Probable proline transporter 2
Probable prolyl 4-hydroxylase 10
Probable prolyl 4-hydroxylase 6
Probable prolyl 4-hydroxylase 7
Probable prolyl 4-hydroxylase 8
Probable proteasome inhibitor
Probable protein ABIL1
Probable protein ABIL3
Probable protein ABIL4
Probable protein ABIL5
Probable protein BRICK1
Probable protein NAP1
Probable protein S-acyltransferase 1
Probable protein S-acyltransferase 12
Probable protein S-acyltransferase 13
Probable protein S-acyltransferase 14
Probable protein S-acyltransferase 15
Probable protein S-acyltransferase 16
Probable protein S-acyltransferase 17
Probable protein S-acyltransferase 19
Probable protein S-acyltransferase 2
Probable protein S-acyltransferase 20
Probable protein S-acyltransferase 22
Probable protein S-acyltransferase 23
Probable protein S-acyltransferase 3
Probable protein S-acyltransferase 4
Probable protein S-acyltransferase 5
Probable protein S-acyltransferase 6
Probable protein S-acyltransferase 7
Probable protein S-acyltransferase 9
Probable protein arginine N-methyltransferase 1
Probable protein arginine N-methyltransferase 1.2
Probable protein arginine N-methyltransferase 3
Probable protein arginine N-methyltransferase 6
Probable protein arginine N-methyltransferase 6.1
Probable protein arginine N-methyltransferase 6.2
Probable protein cornichon homolog 2
Probable protein disulfide-isomerase A6
Probable protein kinase At2g41970
Probable protein phosphatase 2C 1
Probable protein phosphatase 2C 10
Probable protein phosphatase 2C 11
Probable protein phosphatase 2C 12
Probable protein phosphatase 2C 13
Probable protein phosphatase 2C 14
Probable protein phosphatase 2C 15
Probable protein phosphatase 2C 16
Probable protein phosphatase 2C 17
Probable protein phosphatase 2C 18
Probable protein phosphatase 2C 19
Probable protein phosphatase 2C 2
Probable protein phosphatase 2C 20
Probable protein phosphatase 2C 21
Probable protein phosphatase 2C 22
Probable protein phosphatase 2C 23
Probable protein phosphatase 2C 24
Probable protein phosphatase 2C 25
Probable protein phosphatase 2C 26
Probable protein phosphatase 2C 27
Probable protein phosphatase 2C 28
Probable protein phosphatase 2C 29
Probable protein phosphatase 2C 3
Probable protein phosphatase 2C 30
Probable protein phosphatase 2C 31
Probable protein phosphatase 2C 32
Probable protein phosphatase 2C 33
Probable protein phosphatase 2C 34
Probable protein phosphatase 2C 35
Probable protein phosphatase 2C 36
Probable protein phosphatase 2C 37
Probable protein phosphatase 2C 38
Probable protein phosphatase 2C 39
Probable protein phosphatase 2C 4
Probable protein phosphatase 2C 40
Probable protein phosphatase 2C 41
Probable protein phosphatase 2C 42
Probable protein phosphatase 2C 43
Probable protein phosphatase 2C 44
Probable protein phosphatase 2C 45
Probable protein phosphatase 2C 46
Probable protein phosphatase 2C 47
Probable protein phosphatase 2C 48
Probable protein phosphatase 2C 49
Probable protein phosphatase 2C 5
Probable protein phosphatase 2C 51
Probable protein phosphatase 2C 52
Probable protein phosphatase 2C 54
Probable protein phosphatase 2C 55
Probable protein phosphatase 2C 56
Probable protein phosphatase 2C 57
Probable protein phosphatase 2C 58
Probable protein phosphatase 2C 59
Probable protein phosphatase 2C 6
Probable protein phosphatase 2C 60
Probable protein phosphatase 2C 61
Probable protein phosphatase 2C 62
Probable protein phosphatase 2C 63
Probable protein phosphatase 2C 64
Probable protein phosphatase 2C 65
Probable protein phosphatase 2C 66
Probable protein phosphatase 2C 67
Probable protein phosphatase 2C 68
Probable protein phosphatase 2C 69
Probable protein phosphatase 2C 7
Probable protein phosphatase 2C 70
Probable protein phosphatase 2C 71
Probable protein phosphatase 2C 72
Probable protein phosphatase 2C 73
Probable protein phosphatase 2C 74
Probable protein phosphatase 2C 75
Probable protein phosphatase 2C 76
Probable protein phosphatase 2C 77
Probable protein phosphatase 2C 78
Probable protein phosphatase 2C 79
Probable protein phosphatase 2C 8
Probable protein phosphatase 2C 80
Probable protein phosphatase 2C 9
Probable protein phosphatase 2C BIPP2C1
Probable protein transport Sec1a
Probable protein transport Sec1b
Probable protein-S-isoprenylcysteine O-methyltransferase
Probable purine permease 10
Probable purine permease 11
Probable purine permease 13
Probable purine permease 16
Probable purine permease 17
Probable purine permease 18
Probable purine permease 22
Probable purine permease 23
Probable purine permease 4
Probable purine permease 5
Probable purine permease 6
Probable purine permease 7
Probable purine permease 8
Probable pyridoxal 5'-phosphate synthase subunit PDX1
Probable pyridoxal 5'-phosphate synthase subunit PDX1.1
Probable pyridoxal 5'-phosphate synthase subunit PDX1.2
Probable rRNA-processing protein EBP2 homolog
Probable receptor-like protein kinase At1g11050
Probable receptor-like protein kinase At1g30570
Probable receptor-like protein kinase At1g33260
Probable receptor-like protein kinase At1g49730
Probable receptor-like protein kinase At1g80640
Probable receptor-like protein kinase At2g21480
Probable receptor-like protein kinase At2g23200
Probable receptor-like protein kinase At2g39360
Probable receptor-like protein kinase At2g42960
Probable receptor-like protein kinase At2g47060
Probable receptor-like protein kinase At3g17420
Probable receptor-like protein kinase At4g10390
Probable receptor-like protein kinase At4g39110
Probable receptor-like protein kinase At5g18500
Probable receptor-like protein kinase At5g20050
Probable receptor-like protein kinase At5g24010
Probable receptor-like protein kinase At5g38990
Probable receptor-like protein kinase At5g59700
Probable receptor-like protein kinase At5g61350
Probable receptor-like serine/threonine-protein kinase At4g34500
Probable receptor-like serine/threonine-protein kinase At5g57670
Probable reverse transcriptase
Probable ribonuclease P/MRP protein subunit POP5
Probable ribosomal protein
Probable ribosome biogenesis protein At5g10070
Probable ribosome biogenesis protein RLP24
Probable root meristem growth factor 8
Probable santalene synthase
Probable serine acetyltransferase
Probable serine acetyltransferase 1
Probable serine acetyltransferase 2
Probable serine acetyltransferase 3
Probable serine acetyltransferase 4
Probable serine acetyltransferase 5
Probable serine protease EDA2
Probable serine protease inhibitor 6
Probable serine/threonine protein kinase IRE
Probable serine/threonine protein kinase IRE3
Probable serine/threonine protein kinase IRE4
Probable serine/threonine protein kinase IREH1
Probable serine/threonine protein phosphatase 2A regulatory subunit B''delta
Probable serine/threonine protein phosphatase 2A regulatory subunit B''epsilon
Probable serine/threonine protein phosphatase 2A regulatory subunit B''gamma
Probable serine/threonine-protein kinase At1g01540
Probable serine/threonine-protein kinase At1g09600
Probable serine/threonine-protein kinase At1g54610
Probable serine/threonine-protein kinase BSK3
Probable serine/threonine-protein kinase CCRP1
Probable serine/threonine-protein kinase CST
Probable serine/threonine-protein kinase PBL1
Probable serine/threonine-protein kinase PBL10
Probable serine/threonine-protein kinase PBL11
Probable serine/threonine-protein kinase PBL12
Probable serine/threonine-protein kinase PBL15
Probable serine/threonine-protein kinase PBL16
Probable serine/threonine-protein kinase PBL17
Probable serine/threonine-protein kinase PBL18
Probable serine/threonine-protein kinase PBL19
Probable serine/threonine-protein kinase PBL2
Probable serine/threonine-protein kinase PBL20
Probable serine/threonine-protein kinase PBL21
Probable serine/threonine-protein kinase PBL22
Probable serine/threonine-protein kinase PBL23
Probable serine/threonine-protein kinase PBL24
Probable serine/threonine-protein kinase PBL25
Probable serine/threonine-protein kinase PBL26
Probable serine/threonine-protein kinase PBL28
Probable serine/threonine-protein kinase PBL3
Probable serine/threonine-protein kinase PBL4
Probable serine/threonine-protein kinase PBL5
Probable serine/threonine-protein kinase PBL6
Probable serine/threonine-protein kinase PBL7
Probable serine/threonine-protein kinase PBL8
Probable serine/threonine-protein kinase PBL9
Probable serine/threonine-protein kinase PIX13
Probable serine/threonine-protein kinase PIX7
Probable serine/threonine-protein kinase SIS8
Probable serine/threonine-protein kinase WNK1
Probable serine/threonine-protein kinase WNK10
Probable serine/threonine-protein kinase WNK11
Probable serine/threonine-protein kinase WNK2
Probable serine/threonine-protein kinase WNK3
Probable serine/threonine-protein kinase WNK4
Probable serine/threonine-protein kinase WNK5
Probable serine/threonine-protein kinase WNK6
Probable serine/threonine-protein kinase WNK7
Probable serine/threonine-protein kinase WNK8
Probable serine/threonine-protein kinase WNK9
Probable serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit TON2
Probable sesquiterpene synthase
Probable signal peptidase complex subunit 1
Probable signal peptidase complex subunit 2
Probable signal peptidase complex subunit 3
Probable small nuclear ribonucleoprotein F
Probable small nuclear ribonucleoprotein G
Probable sodium/sulfate cotransporter 3
Probable sphingolipid transporter spinster homolog 1
Probable sphingolipid transporter spinster homolog 2
Probable sphingolipid transporter spinster homolog 3
Probable splicing factor 3A subunit 1
Probable staphylococcal-like nuclease CAN1
Probable staphylococcal-like nuclease CAN2
Probable staphylococcal-like nuclease CAN3
Probable staphylococcal-like nuclease CAN4
Probable steroid-binding protein 3
Probable strigolactone esterase DAD2
Probable sucrose-phosphatase 1
Probable sucrose-phosphatase 3
Probable sucrose-phosphatase 3b
Probable sucrose-phosphate synthase
Probable sucrose-phosphate synthase 1
Probable sucrose-phosphate synthase 2
Probable sucrose-phosphate synthase 3
Probable sucrose-phosphate synthase 4
Probable sucrose-phosphate synthase 5
Probable sugar phosphate/phosphate translocator At1g06470
Probable sugar phosphate/phosphate translocator At1g12500
Probable sugar phosphate/phosphate translocator At1g48230
Probable sugar phosphate/phosphate translocator At1g53660
Probable sugar phosphate/phosphate translocator At2g25520
Probable sugar phosphate/phosphate translocator At3g10290
Probable sugar phosphate/phosphate translocator At3g11320
Probable sugar phosphate/phosphate translocator At3g14410
Probable sugar phosphate/phosphate translocator At3g17430
Probable sugar phosphate/phosphate translocator At4g32390
Probable sugar phosphate/phosphate translocator At5g05820
Probable sugar phosphate/phosphate translocator At5g11230
Probable sugar phosphate/phosphate translocator At5g25400
Probable sulfate transport system permease protein cysT
Probable sulfate transporter 3.3
Probable sulfate transporter 3.4
Probable sulfate transporter 3.5
Probable sulfate transporter 4.2
Probable sulfate/thiosulfate import ATP-binding protein CysA
Probable tRNA (guanine(26)-N(2))-dimethyltransferase 1
Probable tRNA (guanine(26)-N(2))-dimethyltransferase 2
Probable tRNA-splicing endonuclease subunit Sen2
Probable terpene synthase 11
Probable terpene synthase 12
Probable terpene synthase 13
Probable terpene synthase 2
Probable terpene synthase 3
Probable terpene synthase 4
Probable terpene synthase 6
Probable terpene synthase 8
Probable terpene synthase 9
Probable thimet oligopeptidase
Probable thiocyanate methyltransferase 2
Probable transcription factor At1g11510
Probable transcription factor At1g44810
Probable transcription factor At1g55950
Probable transcription factor At1g61730
Probable transcription factor At1g66420
Probable transcription factor At2g01370
Probable transcription factor At2g20613
Probable transcription factor At3g04930
Probable transcription factor At4g00130
Probable transcription factor At4g00232
Probable transcription factor At4g00390
Probable transcription factor At4g00610
Probable transcription factor At4g01260
Probable transcription factor At5g28040
Probable transcription factor At5g41765
Probable transcription factor At5g61620
Probable transcription factor FL
Probable transcription factor GLK1
Probable transcription factor GLK2
Probable transcription factor KAN2
Probable transcription factor KAN3
Probable transcription factor KAN4
Probable transcription factor MYB58
Probable transcription factor PosF21
Probable transcription factor RL9
Probable transcription repressor OFP9
Probable transcriptional regulator RABBIT EARS
Probable transcriptional regulator SLK1
Probable transcriptional regulator SLK2
Probable transcriptional regulator SLK3
Probable transcriptional regulatory protein At2g25830
Probable transmembrane ascorbate ferrireductase 2
Probable transmembrane ascorbate ferrireductase 3
Probable transmembrane ascorbate ferrireductase 4
Probable transposase-like protein At4g04430
Probable trehalase
Probable trehalose-phosphate phosphatase 1
Probable trehalose-phosphate phosphatase 10
Probable trehalose-phosphate phosphatase 2
Probable trehalose-phosphate phosphatase 3
Probable trehalose-phosphate phosphatase 4
Probable trehalose-phosphate phosphatase 5
Probable trehalose-phosphate phosphatase 6
Probable trehalose-phosphate phosphatase 7
Probable trehalose-phosphate phosphatase 8
Probable trehalose-phosphate phosphatase 9
Probable trehalose-phosphate phosphatase C
Probable trehalose-phosphate phosphatase D
Probable trehalose-phosphate phosphatase E
Probable trehalose-phosphate phosphatase F
Probable trehalose-phosphate phosphatase G
Probable trehalose-phosphate phosphatase H
Probable trehalose-phosphate phosphatase I
Probable trehalose-phosphate phosphatase J
Probable tyrosine-protein phosphatase DSP2
Probable tyrosine-protein phosphatase DSP4
Probable ubiquitin conjugation factor E4
Probable ubiquitin receptor RAD23
Probable ubiquitin receptor RAD23a
Probable ubiquitin-conjugating enzyme E2 12
Probable ubiquitin-conjugating enzyme E2 16
Probable ubiquitin-conjugating enzyme E2 17
Probable ubiquitin-conjugating enzyme E2 18
Probable ubiquitin-conjugating enzyme E2 23
Probable ubiquitin-conjugating enzyme E2 24
Probable ubiquitin-conjugating enzyme E2 25
Probable ubiquitin-conjugating enzyme E2 26
Probable ubiquitin-conjugating enzyme E2 31
Probable ubiquitin-conjugating enzyme E2 33
Probable ubiquitin-conjugating enzyme E2 37
Probable ubiquitin-like-specific protease 2A
Probable ubiquitin-like-specific protease 2B
Probable ureide permease A3
Probable ureidoglycolate hydrolase
Probable uridine nucleosidase 1
Probable uridine nucleosidase 2
Probable voltage-gated potassium channel subunit beta
Probable xyloglucan 6-xylosyltransferase 1
Probable xyloglucan endotransglucosylase/hydrolase
Probable xyloglucan endotransglucosylase/hydrolase 1
Probable xyloglucan endotransglucosylase/hydrolase protein
Probable xyloglucan endotransglucosylase/hydrolase protein 17
Probable xyloglucan endotransglucosylase/hydrolase protein B
Probable xyloglucan galactosyltransferase GT11
Probable xyloglucan galactosyltransferase GT12
Probable xyloglucan galactosyltransferase GT13
Probable xyloglucan galactosyltransferase GT14
Probable xyloglucan galactosyltransferase GT15
Probable xyloglucan galactosyltransferase GT17
Probable xyloglucan galactosyltransferase GT19
Probable xyloglucan galactosyltransferase GT20
Probable xyloglucan glycosyltransferase 1
Probable xyloglucan glycosyltransferase 2
Probable xyloglucan glycosyltransferase 3
Probable xyloglucan glycosyltransferase 7
Probable xyloglucan glycosyltransferase 9
Probable zinc transporter 10
Probable zinc transporter 12
Probable zinc transporter 8
Probably inactive leucine-rich repeat receptor-like protein kinase At2g25790
Probably inactive leucine-rich repeat receptor-like protein kinase At3g28040
Probably inactive leucine-rich repeat receptor-like protein kinase At5g06940
Probably inactive leucine-rich repeat receptor-like protein kinase At5g48380
Probably inactive leucine-rich repeat receptor-like protein kinase At5g58150
Probably inactive leucine-rich repeat receptor-like protein kinase IMK2
Probably inactive receptor-like protein kinase At2g46850
Probably inactive receptor-like protein kinase At5g41680
Procardosin-A
Procardosin-B
Profilin
Profilin LP04
Profilin-1
Profilin-10
Profilin-11
Profilin-12
Profilin-2
Profilin-3
Profilin-4
Profilin-5
Profilin-6
Profilin-7
Profilin-8
Profilin-9
Profilin-A
Programmed cell death 2 C-terminal domain-containing protein
Prolamin PPROL 14E
Prolamin PPROL 14P
Prolamin PPROL 17D
Prolamin-like protein
Prolamin-like protein (DUF1278)
Prolamin-like protein (DUF784)
Proliferating cell nuclear antigen
Proliferating cell nuclear antigen 2
Proliferating cell nuclear antigen large form
Proliferating cellular nuclear antigen 1
Proline dehydrogenase
Proline iminopeptidase
Proline transporter 1
Proline transporter 2
Proline transporter 3
Proline-rich 33 kDa extensin-related protein
Proline-rich cell wall protein-like
Proline-rich extensin-like family protein
Proline-rich extensin-like protein EPR1
Proline-rich extensin-like receptor kinase 10
Proline-rich family protein
Proline-rich protein 1
Proline-rich protein 2
Proline-rich protein 3
Proline-rich protein 4
Proline-rich receptor-like kinase
Proline-rich receptor-like protein kinase PERK1
Proline-rich receptor-like protein kinase PERK10
Proline-rich receptor-like protein kinase PERK12
Proline-rich receptor-like protein kinase PERK13
Proline-rich receptor-like protein kinase PERK14
Proline-rich receptor-like protein kinase PERK15
Proline-rich receptor-like protein kinase PERK2
Proline-rich receptor-like protein kinase PERK3
Proline-rich receptor-like protein kinase PERK4
Proline-rich receptor-like protein kinase PERK5
Proline-rich receptor-like protein kinase PERK7
Proline-rich receptor-like protein kinase PERK8
Proline-rich receptor-like protein kinase PERK9
Proline-rich spliceosome-associated (PSP) family protein
Proline-rich spliceosome-associated (PSP) family protein / zinc knuckle (CCHC-type) family protein
Proline-tRNA ligase (DUF1680)
Prolyl 4-hydroxylase 13
Prolyl 4-hydroxylase 2
Prolyl carboxypeptidase like protein
Prolyl oligopeptidase family protein
Prolylcarboxypeptidase-like protein
Propionyl-CoA carboxylase
Prostatic spermine-binding-like protein
Protamine P1 family protein
Protease
Protease Do-like 7
Protease Do-like 9
Protease RE1
Protease RE2
Protease inhibitor HPI
Protease inhibitor/seed storage/lipid transfer family protein
Protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
Protease-associated (PA) domain-containing protein
Proteasome activator subunit 4
Proteasome assembly chaperone
Proteasome assembly chaperone 2
Proteasome assembly chaperone-like protein
Proteasome component (PCI) domain protein
Proteasome endopeptidase complex
Proteasome family protein
Proteasome inhibitor-like protein
Proteasome maturation factor
Proteasome subunit alpha type
Proteasome subunit alpha type-1
Proteasome subunit alpha type-1-A
Proteasome subunit alpha type-1-B
Proteasome subunit alpha type-2
Proteasome subunit alpha type-2-A
Proteasome subunit alpha type-2-B
Proteasome subunit alpha type-3
Proteasome subunit alpha type-4
Proteasome subunit alpha type-4-1
Proteasome subunit alpha type-4-2
Proteasome subunit alpha type-4-3
Proteasome subunit alpha type-4-A
Proteasome subunit alpha type-5
Proteasome subunit alpha type-5-A
Proteasome subunit alpha type-5-B
Proteasome subunit alpha type-6
Proteasome subunit alpha type-6-A
Proteasome subunit alpha type-6-B
Proteasome subunit alpha type-7
Proteasome subunit alpha type-7-A
Proteasome subunit alpha type-7-B
Proteasome subunit beta type
Proteasome subunit beta type-1
Proteasome subunit beta type-2
Proteasome subunit beta type-2-A
Proteasome subunit beta type-2-B
Proteasome subunit beta type-3
Proteasome subunit beta type-3-A
Proteasome subunit beta type-3-B
Proteasome subunit beta type-4
Proteasome subunit beta type-5
Proteasome subunit beta type-5-A
Proteasome subunit beta type-5-B
Proteasome subunit beta type-6
Proteasome subunit beta type-7-A
Proteasome subunit beta type-7-B
Protection of telomeres protein 1a
Protection of telomeres protein 1b
Protection of telomeres protein 1c
Protein 108
Protein ABERRANT POLLEN TRANSMISSION 1
Protein ABIL1
Protein ABIL2
Protein ABIL3
Protein ABIL4
Protein ABSCISIC ACID-INSENSITIVE 5
Protein ACCELERATED CELL DEATH 6
Protein ACCUMULATION AND REPLICATION OF CHLOROPLASTS 3
Protein ADMETOS
Protein AE7
Protein AE7-like 1
Protein AE7-like 2
Protein AIG2 A
Protein AIG2 B
Protein AIG2 C
Protein ALF
Protein ALP1-like
Protein ALTERED XYLOGLUCAN 4
Protein ALTERED XYLOGLUCAN 4-like
Protein ALUMINUM SENSITIVE 3
Protein ALWAYS EARLY 1
Protein ALWAYS EARLY 2
Protein ALWAYS EARLY 3
Protein AMEIOTIC 1
Protein AMEIOTIC 1 homolog
Protein ANTAGONIST OF LIKE HETEROCHROMATIN PROTEIN 1
Protein ANTHESIS POMOTING FACTOR 1
Protein ANTI-SILENCING 1
Protein APEM9
Protein ARABIDILLO 1
Protein ARABIDILLO 2
Protein ARABIDOPSIS THALIANA ANTHER 7
Protein ASC1
Protein ASPARTIC PROTEASE IN GUARD CELL 1
Protein ASPARTIC PROTEASE IN GUARD CELL 2
Protein ASYMMETRIC LEAVES 2
Protein ATAF2
Protein AUXIN RESPONSE 4
Protein AUXIN SIGNALING F-BOX 2
Protein AUXIN SIGNALING F-BOX 3
Protein AUXIN-REGULATED GENE INVOLVED IN ORGAN SIZE
Protein Asterix
Protein At-4/1
Protein B160
Protein BASIC PENTACYSTEINE1
Protein BASIC PENTACYSTEINE2
Protein BASIC PENTACYSTEINE3
Protein BASIC PENTACYSTEINE4
Protein BASIC PENTACYSTEINE5
Protein BASIC PENTACYSTEINE6
Protein BASIC PENTACYSTEINE7
Protein BCCIP homolog
Protein BEARSKIN1
Protein BEARSKIN2
Protein BIC1
Protein BIC2
Protein BIG GRAIN 1
Protein BIG GRAIN 1-like
Protein BIG GRAIN 1-like A
Protein BIG GRAIN 1-like B
Protein BIG GRAIN 1-like C
Protein BIG GRAIN 1-like D
Protein BIG GRAIN 1-like E
Protein BLISTER
Protein BLT4
Protein BOBBER 1
Protein BOBBER 2
Protein BOLA2
Protein BONZAI 1
Protein BONZAI 2
Protein BONZAI 3
Protein BP4A
Protein BP4C
Protein BRANCHLESS TRICHOME
Protein BRASSINAZOLE-RESISTANT 1
Protein BRASSINAZOLE-RESISTANT 2
Protein BRASSINOSTEROID INSENSITIVE 1
Protein BREAKING OF ASYMMETRY IN THE STOMATAL LINEAGE
Protein BREAST CANCER SUSCEPTIBILITY 1 homolog
Protein BREAST CANCER SUSCEPTIBILITY 2 homolog A
Protein BREAST CANCER SUSCEPTIBILITY 2 homolog B
Protein BREVIS RADIX
Protein BRICK 1
Protein BRICK1
Protein BROTHER of FT and TFL 1
Protein BTR1
Protein BUD31 homolog 1
Protein BUD31 homolog 2
Protein BUD31 homolog 3
Protein BZR1 homolog 1
Protein BZR1 homolog 2
Protein BZR1 homolog 3
Protein BZR1 homolog 4
Protein Barley B recombinant
Protein Brevis radix-like 1
Protein Brevis radix-like 2
Protein Brevis radix-like 3
Protein Brevis radix-like 4
Protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase
Protein C2-DOMAIN ABA-RELATED 1
Protein C2-DOMAIN ABA-RELATED 10
Protein C2-DOMAIN ABA-RELATED 11
Protein C2-DOMAIN ABA-RELATED 2
Protein C2-DOMAIN ABA-RELATED 3
Protein C2-DOMAIN ABA-RELATED 4
Protein C2-DOMAIN ABA-RELATED 5
Protein C2-DOMAIN ABA-RELATED 6
Protein C2-DOMAIN ABA-RELATED 7
Protein C2-DOMAIN ABA-RELATED 8
Protein C2-DOMAIN ABA-RELATED 9
Protein CASP
Protein CASPARIAN STRIP INTEGRITY FACTOR 1
Protein CASPARIAN STRIP INTEGRITY FACTOR 2
Protein CCA1
Protein CDC73 homolog
Protein CDI
Protein CELLULOSE SYNTHASE INTERACTIVE 1
Protein CELLULOSE SYNTHASE INTERACTIVE 2
Protein CELLULOSE SYNTHASE INTERACTIVE 3
Protein CENTRORADIALIS
Protein CENTRORADIALIS-like
Protein CER1-like 1
Protein CER1-like 2
Protein CHLOROPLAST IMPORT APPARATUS 2
Protein CHROMATIN REMODELING 19
Protein CHROMATIN REMODELING 20
Protein CHROMATIN REMODELING 24
Protein CHROMATIN REMODELING 25
Protein CHROMATIN REMODELING 35
Protein CHROMATIN REMODELING 4
Protein CHROMATIN REMODELING 5
Protein CHROMATIN REMODELING 8
Protein CHROMOSOME TRANSMISSION FIDELITY 7
Protein CIA1
Protein CLMP1
Protein CLP1 homolog
Protein CLP1 homolog 5
Protein CNGC15a
Protein CNGC15b
Protein CNGC15c
Protein COBRA
Protein CONTINUOUS VASCULAR RING 1
Protein COP1 SUPPRESSOR 2
Protein CPR-5
Protein CRABS CLAW
Protein CROWDED NUCLEI 1
Protein CROWDED NUCLEI 2
Protein CROWDED NUCLEI 3
Protein CROWDED NUCLEI 4
Protein CTF7
Protein CTR9 homolog
Protein CUP-SHAPED COTYLEDON 1
Protein CUP-SHAPED COTYLEDON 2
Protein CUP-SHAPED COTYLEDON 3
Protein CYPRO4
Protein DA1
Protein DA1-related 1
Protein DA1-related 2
Protein DA1-related 3
Protein DA1-related 4
Protein DA1-related 5
Protein DA1-related 6
Protein DA1-related 7
Protein DAMAGED DNA-BINDING 2
Protein DECREASED SIZE EXCLUSION LIMIT 1
Protein DEFECTIVE IN EXINE FORMATION 1
Protein DEFECTIVE IN MERISTEM SILENCING 3
Protein DEHYDRATION-INDUCED 19
Protein DEHYDRATION-INDUCED 19 homolog 2
Protein DEHYDRATION-INDUCED 19 homolog 3
Protein DEHYDRATION-INDUCED 19 homolog 4
Protein DEHYDRATION-INDUCED 19 homolog 5
Protein DEHYDRATION-INDUCED 19 homolog 6
Protein DEHYDRATION-INDUCED 19 homolog 7
Protein DELAY OF GERMINATION 1
Protein DELETION OF SUV3 SUPPRESSOR 1(I)
Protein DETOXIFICATION
Protein DETOXIFICATION 1
Protein DETOXIFICATION 10
Protein DETOXIFICATION 11
Protein DETOXIFICATION 12
Protein DETOXIFICATION 13
Protein DETOXIFICATION 14
Protein DETOXIFICATION 15
Protein DETOXIFICATION 16
Protein DETOXIFICATION 17
Protein DETOXIFICATION 18
Protein DETOXIFICATION 19
Protein DETOXIFICATION 2
Protein DETOXIFICATION 20
Protein DETOXIFICATION 21
Protein DETOXIFICATION 22
Protein DETOXIFICATION 23
Protein DETOXIFICATION 24
Protein DETOXIFICATION 25
Protein DETOXIFICATION 26
Protein DETOXIFICATION 27
Protein DETOXIFICATION 28
Protein DETOXIFICATION 29
Protein DETOXIFICATION 3
Protein DETOXIFICATION 30
Protein DETOXIFICATION 31
Protein DETOXIFICATION 32
Protein DETOXIFICATION 33
Protein DETOXIFICATION 34
Protein DETOXIFICATION 35
Protein DETOXIFICATION 36
Protein DETOXIFICATION 37
